contract_symbol,last_trade_date,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_volatility,in_the_money,contract_size,currency,expiration,type,date_pulled
AAPL251010P00140000,2025-09-22 18:48:58+00:00,140.0,0.01,0.0,0.01,0.0,0.0,,110,1.5625021874999998,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00145000,2025-09-08 15:38:49+00:00,145.0,0.02,0.0,0.01,0.0,0.0,,15,1.5000025,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00150000,2025-09-22 14:24:20+00:00,150.0,0.01,0.0,0.01,0.0,0.0,1.0,7,1.40625296875,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00155000,2025-09-25 15:21:55+00:00,155.0,0.01,0.0,0.01,0.0,0.0,191.0,212,1.3125034374999998,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00160000,2025-09-26 19:05:36+00:00,160.0,0.01,0.0,0.01,0.0,0.0,227.0,318,1.2500037499999999,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00165000,2025-10-01 13:30:01+00:00,165.0,0.02,0.0,0.01,0.0,0.0,1.0,299,1.1875040625,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00170000,2025-10-01 18:33:40+00:00,170.0,0.01,0.0,0.01,0.0,0.0,10.0,278,1.09375453125,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00175000,2025-10-01 18:34:17+00:00,175.0,0.02,0.0,0.01,0.0,0.0,109.0,211,1.0312548437500002,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00180000,2025-10-06 13:30:04+00:00,180.0,0.01,0.0,0.01,0.0,0.0,2.0,1362,0.9687503125,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00185000,2025-10-03 19:10:10+00:00,185.0,0.02,0.0,0.01,0.0,0.0,103.0,1221,0.87500125,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00190000,2025-10-03 19:57:20+00:00,190.0,0.01,0.0,0.01,0.0,0.0,1.0,841,0.8125018749999999,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00195000,2025-10-03 13:56:42+00:00,195.0,0.01,0.0,0.01,0.0,0.0,1.0,342,0.7500025,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00200000,2025-10-06 17:15:43+00:00,200.0,0.01,0.0,0.01,0.0,0.0,10.0,1470,0.6875031250000001,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00205000,2025-10-06 19:21:37+00:00,205.0,0.01,0.0,0.01,-0.01,-50.0,99.0,3693,0.6250037500000001,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00210000,2025-10-06 17:35:39+00:00,210.0,0.01,0.0,0.01,-0.02,-66.66667,77.0,1409,0.5625043750000001,False,REGULAR,USD,2025-10-10,P,2025-10-06
